time,rotate1,rotate2,rotate3,rotate4,force1,force2,force3,force4,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,Mc1,Mc2,Mc3,Mc4,Mc5
0.541666667,254.8536316,373.8392089,214.7568609,154.836035,16.22489264,72.56494737,82.22427023,73.60289383,631.229956,548.5235851,602.4695133,623.9534284,580.880137,589.0492844,518.8663069,518.5771494,688.8008663,390.6822989,400.5875987,402.0802591,409.1814213,421.141138
0.541678241,278.7522234,168.7264118,33.38363564,37.81590001,37.36101217,9.394990819,27.10894887,61.78656451,501.9875227,599.6710355,535.0482034,632.0971084,526.0822699,615.0699615,516.3093028,565.1760325,566.5409922,342.0730736,339.82564,353.2417634,377.5217125,390.8443346
0.541689815,377.642718,66.78414455,332.9225581,350.4133455,81.15975249,90.12327411,72.23051342,75.87073583,640.5002716,652.3935611,600.1631883,644.806535,503.7003898,610.0334294,648.4054787,652.0215165,592.246755,419.5963201,419.9845456,439.3296053,442.7896448,446.6418825
0.541701389,215.5009546,52.35227292,194.2024474,320.9704551,4.083075494,77.94759846,78.68847501,24.63393904,520.742709,589.2309603,572.8400362,582.3550205,517.3554072,579.103526,607.959798,540.6581742,599.4310806,364.0308912,370.907208,392.3355497,405.5288856,409.1677543
0.541712963,183.5202279,319.1506509,93.89691692,80.0766754,37.63139063,66.27293892,83.9144283,44.37963228,565.2839037,515.8632445,676.4378553,572.2282917,512.440748,589.3976842,688.1835158,649.9729972,670.7520351,378.2259771,385.1582595,397.9866701,411.9297228,430.3152298
0.541724537,302.895929,223.7721826,14.01652149,215.7685924,58.07527942,4.51330013,78.04645129,84.56487369,508.6774662,613.1780229,509.6865459,500.8738069,638.8212886,532.6374155,577.5363177,539.1290337,634.229729,355.8455926,367.9707264,369.3506638,394.8868847,398.2182078
0.541736111,81.89636341,323.7125761,212.4310153,118.0557483,79.1548843,97.39751338,36.12394961,4.187583905,533.328342,603.5284666,537.5743724,549.8990004,593.3901395,592.0476191,678.5947409,514.9708613,540.8814905,360.9485663,382.5049618,379.3971284,392.8707652,413.6477113
0.541747685,290.5770632,286.9733896,8.647093327,158.486017,87.87099112,58.7381314,75.35972763,87.99677373,554.8378508,573.844777,619.3684776,660.9251351,600.5949842,694.5751296,698.3918836,638.7617088,574.0842244,396.744922,401.0973884,411.0252444,431.8853737,446.0791517
0.541759259,234.3097322,298.7602725,128.4077082,122.3899668,26.34763643,67.12377635,62.14016917,47.3197801,618.7065209,597.2655836,524.5778177,529.7132086,580.3841955,597.8303719,519.2167201,674.9511751,521.8348975,366.5417553,377.3612241,374.9906234,391.7662043,409.3370566
0.541770833,379.5675157,265.1325823,377.8437134,310.7815779,26.45119181,40.87915338,23.82545214,20.30637778,611.2367805,680.4007483,611.7426141,606.2024019,646.9963577,658.5319565,686.4149904,559.5663391,543.2348108,423.5669074,419.5473519,434.8100853,432.8442804,441.52994
